WBodyID,WaterBodyName,DataSource,StationID,StationName,Actual_StationID,Actual_Latitude,Actual_Longitude,DEP_WBID,SampleDate,ActivityDepth,DepthUnits,Parameter,Characteristic,Sample_Fraction,Result_Value,Result_Unit,QACode,Result_Comment,Original_Result_Value,Original_Result_Unit
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,11/27/2012 8:15,0.5,m,TP_ugl,Phosphorus as P,Total,19,ug/l,,,0.019,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,11/27/2012 8:15,0.5,m,TP_ugl,Phosphorus as P,Dissolved,4,ug/l,I,,0.004,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,7/18/2017 0:00,0.5,m,TP_ugl,Phosphorus as P,Total,8,ug/l,I,,0.008,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,7/18/2017 0:00,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,10/12/2017 0:00,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/L
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,10/12/2017 0:00,0.5,m,TP_ugl,Phosphorus as P,Total,24,ug/l,,,0.024,mg/L
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,2/27/2018 9:35,0.5,m,TP_ugl,Phosphorus as P,Total,17,ug/l,I,,0.017,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,2/27/2018 9:35,0.5,m,TP_ugl,Phosphorus as P,Dissolved,5,ug/l,U,,0.005,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,5/16/2018 7:53,0.5,m,TP_ugl,Phosphorus as P,Total,11,ug/l,I,,0.011,mg/L
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,11/8/2018 9:55,0.5,m,TP_ugl,Phosphorus as P,Total,9,ug/l,I,,0.009,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,11/8/2018 9:55,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,3/28/2019 11:15,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,3/28/2019 11:15,0.5,m,TP_ugl,Phosphorus as P,Total,14,ug/l,I,,0.014,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,5/20/2019 9:53,0.5,m,TP_ugl,Phosphorus as P,Dissolved,8,ug/l,I,,0.008,mg/L
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,5/20/2019 9:53,0.5,m,TP_ugl,Phosphorus as P,Total,52,ug/l,,,0.052,mg/L
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,7/29/2019 9:55,0.5,m,TP_ugl,Phosphorus as P,Total,10,ug/l,I,,0.01,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,7/29/2019 9:55,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,10/28/2019 9:20,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/L
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,10/28/2019 9:20,0.5,m,TP_ugl,Phosphorus as P,Total,7,ug/l,I,,0.007,mg/L
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,2/27/2020 10:50,0.5,m,TP_ugl,Phosphorus as P,Total,6,ug/l,U,,0.006,mg/L
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,4/20/2020 9:15,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,4/20/2020 9:15,0.5,m,TP_ugl,Phosphorus as P,Total,10,ug/l,I,,0.01,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,7/16/2020 9:45,0.5,m,TP_ugl,Phosphorus as P,Total,10,ug/l,I,,0.01,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,7/16/2020 9:45,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,10/1/2020 9:51,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,10/1/2020 9:51,0.5,m,TP_ugl,Phosphorus as P,Total,17,ug/l,I,,0.017,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,2/22/2021 10:20,0.5,m,TP_ugl,Phosphorus as P,Total,12,ug/l,I,,0.012,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,2/22/2021 10:20,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,6/14/2021 9:50,0.5,m,TP_ugl,Phosphorus as P,Total,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,8/30/2021 10:00,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,8/30/2021 10:00,0.5,m,TP_ugl,Phosphorus as P,Total,10,ug/l,I,,0.01,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,11/11/2021 10:00,0.5,m,TP_ugl,Phosphorus as P,Total,8,ug/l,I,,0.008,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,11/11/2021 10:00,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,2/21/2022 10:10,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,2/21/2022 10:10,0.5,m,TP_ugl,Phosphorus as P,Total,8,ug/l,I,,0.008,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,5/4/2022 9:45,0.5,m,TP_ugl,Phosphorus as P,Total,6,ug/l,I,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,8/10/2022 10:30,0.5,m,TP_ugl,Phosphorus as P,Total,11,ug/l,I,,0.011,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,8/10/2022 10:30,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,10/20/2022 13:20,0.5,m,TP_ugl,Phosphorus as P,Total,14,ug/l,I,,0.014,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,10/20/2022 13:20,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,2/16/2023 10:30,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,2/16/2023 10:30,0.5,m,TP_ugl,Phosphorus as P,Total,9,ug/l,I,,0.009,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,5/4/2023 10:40,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,5/4/2023 10:40,0.5,m,TP_ugl,Phosphorus as P,Total,7,ug/l,I,,0.007,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,8/3/2023 10:20,0.5,m,TP_ugl,Phosphorus as P,Total,14,ug/l,I,,0.014,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,8/3/2023 10:20,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,U,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,10/26/2023 10:20,0.5,m,TP_ugl,Phosphorus as P,Dissolved,6,ug/l,I,,0.006,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,10/26/2023 10:20,0.5,m,TP_ugl,Phosphorus as P,Total,47,ug/l,,,0.047,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,2/21/2024 11:30,0.5,m,TP_ugl,Phosphorus as P,Total,26,ug/l,I,,0.026,mg/L
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,2/21/2024 11:30,0.5,m,TP_ugl,Phosphorus as P,Dissolved,15,ug/l,U,,0.015,mg/L
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,5/9/2024 10:50,0.5,m,TP_ugl,Phosphorus as P,Total,22,ug/l,I,,0.022,mg/l
140157,Lake Crescent,WIN_21FLORAN,CC7, Cresent,CC7,28.508471,-81.561449,3170R,5/9/2024 10:50,0.5,m,TP_ugl,Phosphorus as P,Dissolved,15,ug/l,,,0.015,mg/l
