STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMXP,PRCP
USW00012815,ORLANDO INTERNATIONAL AIRPORT  FL US,28.41822,-81.32413,27.1,2024-01,0.58,1.59
USW00012815,ORLANDO INTERNATIONAL AIRPORT  FL US,28.41822,-81.32413,27.1,2024-02,1.51,2.41
USW00012815,ORLANDO INTERNATIONAL AIRPORT  FL US,28.41822,-81.32413,27.1,2024-03,0.94,1.39
USW00012815,ORLANDO INTERNATIONAL AIRPORT  FL US,28.41822,-81.32413,27.1,2024-04,0.81,1.33
USW00012815,ORLANDO INTERNATIONAL AIRPORT  FL US,28.41822,-81.32413,27.1,2024-05,0.49,1.8
USW00012815,ORLANDO INTERNATIONAL AIRPORT  FL US,28.41822,-81.32413,27.1,2024-06,1.28,6.37
USW00012815,ORLANDO INTERNATIONAL AIRPORT  FL US,28.41822,-81.32413,27.1,2024-07,1.85,4.79
USW00012815,ORLANDO INTERNATIONAL AIRPORT  FL US,28.41822,-81.32413,27.1,2024-08,2.86,7.8
USW00012815,ORLANDO INTERNATIONAL AIRPORT  FL US,28.41822,-81.32413,27.1,2024-09,1.41,5.38
USW00012815,ORLANDO INTERNATIONAL AIRPORT  FL US,28.41822,-81.32413,27.1,2024-10,3.79,5.13
