STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMXP,PRCP
USC00086634,ORLANDO WEST  FL US,28.5082,-81.5467,45.7,2024-01,0.61,2.09
USC00086634,ORLANDO WEST  FL US,28.5082,-81.5467,45.7,2024-02,1.14,2.76
USC00086634,ORLANDO WEST  FL US,28.5082,-81.5467,45.7,2024-03,1.02,2.25
USC00086634,ORLANDO WEST  FL US,28.5082,-81.5467,45.7,2024-04,0.63,1.08
USC00086634,ORLANDO WEST  FL US,28.5082,-81.5467,45.7,2024-05,0.33,1.11
USC00086634,ORLANDO WEST  FL US,28.5082,-81.5467,45.7,2024-06,3.28,8.55
USC00086634,ORLANDO WEST  FL US,28.5082,-81.5467,45.7,2024-07,1.85,11.98
USC00086634,ORLANDO WEST  FL US,28.5082,-81.5467,45.7,2024-08,2.17,10.35
USC00086634,ORLANDO WEST  FL US,28.5082,-81.5467,45.7,2024-09,1.95,10.85
USC00086634,ORLANDO WEST  FL US,28.5082,-81.5467,45.7,2024-10,8.1,18.15
