STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,EMXP,PRCP
US1FLOR0027,ORLANDO 4.9 N  FL US,28.57430077,-81.38513947,31.1,2024-01,0.56,1.56
US1FLOR0027,ORLANDO 4.9 N  FL US,28.57430077,-81.38513947,31.1,2024-02,2.17,3.9
US1FLOR0027,ORLANDO 4.9 N  FL US,28.57430077,-81.38513947,31.1,2024-03,0.96,1.47
US1FLOR0027,ORLANDO 4.9 N  FL US,28.57430077,-81.38513947,31.1,2024-04,0.6,1.09
US1FLOR0027,ORLANDO 4.9 N  FL US,28.57430077,-81.38513947,31.1,2024-05,1.88,2.71
US1FLOR0027,ORLANDO 4.9 N  FL US,28.57430077,-81.38513947,31.1,2024-06,2.59,6.74
US1FLOR0027,ORLANDO 4.9 N  FL US,28.57430077,-81.38513947,31.1,2024-07,1.27,4.22
US1FLOR0027,ORLANDO 4.9 N  FL US,28.57430077,-81.38513947,31.1,2024-08,1.77,10
US1FLOR0027,ORLANDO 4.9 N  FL US,28.57430077,-81.38513947,31.1,2024-09,4.28,12.94
US1FLOR0027,ORLANDO 4.9 N  FL US,28.57430077,-81.38513947,31.1,2024-10,9.2,12.73
